[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\Handlers\CMSSessionEvents.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CMSModules\SmartSearch\_StopWords\Arabic.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CMSModules\SmartSearch\_StopWords\Czech.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CMSModules\SmartSearch\_StopWords\Dutch.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CMSModules\SmartSearch\_StopWords\French.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CMSModules\SmartSearch\_StopWords\German.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CMSModules\SmartSearch\_StopWords\Italian.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CMSModules\SmartSearch\_StopWords\Polish.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CMSModules\SmartSearch\_StopWords\Portugese.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CMSModules\SmartSearch\_StopWords\Russian.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CMSModules\SmartSearch\_StopWords\Spanish.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CMSModules\SmartSearch\_StopWords\Swedish.txt
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CodeTemplates\WebPart.ascx.cs.template
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CodeTemplates\WebPart.ascx.designer.cs.template
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\CodeTemplates\WebPart.ascx.template
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Data\Compatibility\Compatibility55.cs.rename
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\DeviceProfile.css
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\bottom_center.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\bottom_center_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\bottom_left.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\bottom_left_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\bottom_right.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\bottom_right_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\center_left.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\center_left_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\center_right.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\center_right_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\top_center.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\top_center_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\top_left.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\top_left_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\top_right.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\Android_device\Images\top_right_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\DeviceProfile.css
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\bottom_center.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\bottom_center_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\bottom_left.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\bottom_left_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\bottom_right.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\bottom_right_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\center_left.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\center_left_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\center_right.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\center_right_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\top_center.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\top_center_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\top_left.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\top_left_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\top_right.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPad\Images\top_right_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\DeviceProfile.css
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\bottom_center.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\bottom_center_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\bottom_left.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\bottom_left_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\bottom_right.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\bottom_right_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\center_left.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\center_left_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\center_right.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\center_right_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\top_center.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\top_center_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\top_left.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\top_left_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\top_right.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Components\DeviceProfile\iPhone\Images\top_right_rotated.png
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Themes\Design\Chat\ChatSupportHeader.css
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.CMSHelper.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.CMSStorage.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.DatabaseHelper.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.GlobalEventHelper.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.GlobalHelper.dll
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\bin\CMS.ISearchEngine.dll
